id,username,password_hash,role,created_at
1,user1,e6c3da5b206634d7f3f3586d747ffdb36b5c675757b380c6a5fe5c570c714349,admin,2024-04-05 08:20:07
2,user2,1ba3d16e9881959f8c9a9762854f72c6e6321cdd44358a10a4e939033117eab9,admin,2024-01-07 14:56:36
3,user3,3acb59306ef6e660cf832d1d34c4fba3d88d616f0bb5c2a9e0f82d18ef6fc167,user,2024-04-07 10:08:03
4,user4,a417b5dc3d06d15d91c6687e27fc1705ebc56b3b2d813abe03066e5643fe4e74,user,2024-02-11 03:50:24
5,user5,0eeac8171768d0cdef3a20fee6db4362d019c91e10662a6b55186336e1a42778,analyst,2023-05-28 23:54:07
6,user6,5c4950c94a3461441c356afa783f76b83b38fd65f730f291403efbcc798acc1f,admin,2024-01-24 00:45:04
7,user7,1526f5e0e31d42fe1c3664ce923ac22ac1333417a90b32043797ac454cd03112,analyst,2023-08-08 14:35:30
8,user8,c8fea5b0b76dc690feaf5544749f99b40e78e2a37c0e867a086696509416302a,admin,2024-09-07 08:14:50
9,user9,2d4589473fb3f4581d7452cd25182159d68d2a50056a0cce35a529b010e32f2b,user,2024-05-29 01:36:23
10,user10,b35892cb8b089e03e4420b94df688122a2b76d4ad0f8b94ad20808bb029e48a5,analyst,2023-11-15 01:14:08
