username,password_hash,role,created_at
user_0001,1bea2cce8391722ab9f8fd9a3202d359adaf19e51104d9cf8636dfe6282c7d01,user,2025-12-05 04:21:52
user_0002,e705bf78a369f6340b8602bba1d8c823fe85b124fae4b45af8219e4b6c8d2f5b,manager,2025-12-05 04:21:52
user_0003,31e986a38c54ce609100fb7621aa2c3e9531fc40c8117dba94f01e0d12c43f87,user,2025-12-05 04:21:52
user_0004,b78c7b68e9bfeedb9cb48b9955c197c75dad56360a27462f21f5b7add1c8185f,admin,2025-12-05 04:21:52
user_0005,178f6a4622490f0bff38a4a17b5aa70c9115c742b8a932f1e62a7ecaf8e2c452,user,2025-12-05 04:21:52
user_0006,0e5224e797bb2c3e815f9c47789ddeebf7563f32a69cae4b9c157ff5e5f15c54,user,2025-12-05 04:21:52
user_0007,24452a655bc19157a0bd5fc71ed8882fc950c8d0903afa56a77053605b5ef57d,user,2025-12-05 04:21:52
user_0008,47ead2b1460c60a08d60772b04a5efbe8a1dd3118d06856916abf25fdac0cfde,manager,2025-12-05 04:21:52
user_0009,c88588aac98d9013c8bba41d30ade6645c1bf87dc1571bf6aa2f896e7eaacedb,admin,2025-12-05 04:21:52
user_0010,aec9a2a796e1f53660bb5353608763397fffc52ca85ba0e63212df6538e87c4b,admin,2025-12-05 04:21:52
